#      az(d)       el(d) polygon_ids
  31.718178   -0.104925 2446
  19.744793    0.669390  202
  27.756207    0.496965  804
  12.895938    0.708700  111
   3.962127    0.606496   36
  15.951018   -0.300350 1759
 354.716003   -0.395168 3105
  24.458336    0.595799  920
 353.045624   -0.787863 3085
  30.437986   -0.054473 2435
  34.754025   -0.076232 2465
  33.575295   -0.593491 2453
   9.844582    0.445252   81
 337.946472   -0.378806 2965
   0.361072    0.005224    0
  27.405872   -0.572003 2585
   2.311347    0.405485   19
  18.278462    0.031011  411
  29.290003   -0.302935 2428
   2.986025   -0.094656 1646
 353.225464   -0.946711 3094
   6.226405    0.402578   51
  17.721613    0.098264  286
   6.366814   -0.563280 1668
  27.362875    0.485795  799
 356.855530   -0.721236 3121
   2.838026   -0.096185 1642
  10.598363   -0.071000 1710
  14.144759   -0.716180 2061
   8.612833   -0.362726 1690
  25.890337   -0.213719 2735
 357.080566    0.649922 1470
  23.746637    0.504844 1022
  21.921873    0.883896  238
   6.810909    0.761769   57
   8.326158    0.271435   68
  27.914629   -0.339733 2416
  24.287821   -0.269883 2519
  26.548710   -0.724698 2550
  18.466745    0.876104  365
   6.096689    0.432421   51
   6.954348    0.550056   57
  32.285347    0.855964  833
 352.037445   -0.465970 3079
  26.380823    0.517297 1038
  26.430523   -0.425659 2730
   4.659987    0.825428   40
 354.188446    0.766662 1447
   3.066033    0.390859   25
 344.819916   -0.678705 3028
  30.734608    0.876711 1122
 357.708923    0.867324 1477
 344.032776    0.540174 1548
 346.671204    0.282710 1384
 332.503082   -0.142118 2869
 346.441254    0.150371 1379
 341.800201    0.366299 1333
 332.329224   -0.104577 2869
 344.844574    0.235140 1367
 334.745453    0.119998 1233
 333.405701    0.671078 1224
 337.409119   -0.293965 2952
 342.497589    0.094498 1340
 342.205933   -0.603700 3002
 339.685089   -0.811913 2980
 346.018738    0.011286 1377
 346.430145    0.002327 1379
 332.931549    0.523738 1217
 334.931183   -0.748333 2883
 333.614563    0.143941 1224
 343.986359   -0.358632 3024
 342.478546   -0.423077 3004
 337.908142   -0.118673 2965
 341.618469    0.618367 1333
 331.474365    0.733405 1206
 333.713654    0.753749 1229
 345.908600   -0.807792 3035
 337.461334   -0.396703 2952
 334.508514   -0.962274 2883
 333.635376   -0.308418 2878
 337.107483    0.236078 1253
 346.538513   -0.541919 3040
 335.547546    0.233312 1243
 343.337158    0.351841 1354
 347.578583    0.859635 1389
 346.541351   -0.555650 3040
 333.478668    0.320108 1224
 344.342957    0.628958 1548
 333.034821   -0.273248 2874
 337.081604   -0.738139 2952
 346.149139   -0.843701 3035
 335.514893    0.662649 1243
 335.723938    0.355025 1243
 346.789276   -0.905521 3040
 334.172699   -0.012964 2883
 344.597229    0.220899 1365
 332.998535    0.789447 1224
 348.480652   -0.174849 3055
 342.924530   -0.405797 3014
 358.678284   -0.140990 3140
  24.146860   -0.390032 2519
  14.907104   -0.035324 1811
  15.301342   -0.371279 2292
  19.489868   -0.667680 1855
  19.778971    0.352744  461
 357.280243    0.266468 1470
 354.377869    0.327193 1447
  27.857630    0.392427  804
  27.396084   -0.733948 2585
   5.725051   -0.415842 1668
  23.115898    0.825175  980
   6.461154   -0.412961 2246
  34.772575   -0.669317 2465
  17.232136   -0.340683 1869
  23.058971    0.893175  980
 359.603027    0.270381 1491
  27.618065    0.764380  804
  11.223847    0.011639   93
   6.942067   -0.362369 2246
 358.932861    0.632272 1488
  11.495815    0.037763   97
  19.125931    0.874700  274
  34.515194    0.214263  847
  33.643852    0.740839  841
  16.199114   -0.928973 1789
   6.988789   -0.200898 1681
  16.980442   -0.499892 1879
  30.220915    0.132753  816
 356.581177    0.884387 1468
   5.996227   -0.184293 1668
  31.514252    0.893136  830
 356.980072    0.560581 1470
  30.249489   -0.866311 2429
  10.132781    0.701101   86
  29.806143   -0.714606 2428
  18.339760    0.090378  417
   8.701554    0.383401   72
 359.393036    0.582879 1491
  12.906711   -0.933620 1727
  31.752296   -0.571911 2440
 359.273132    0.372699 1488
  33.645538   -0.465860 2453
  16.648617    0.737577  492
 356.782501    0.636622 1470
 357.790710   -0.809663 3126
  18.535479   -0.870398 1894
  16.272688    0.328729  205
