#az(d)       el(d) polygon_ids
 356.215101   -0.069736 3123
  14.675429   -0.938710 2066
  17.200369    0.935375  388
  13.276931   -0.400066 1731
  11.869885    0.672283   99
  23.623142   -0.280197 2564
   0.325568   -0.854086 1624
  16.451544    0.962049  494
  11.926550    0.757575  105
  26.298967   -0.724711 2553
 354.229248   -0.375631 3097
 353.620293    0.181188 1441
 359.838165    0.816341 1496
  30.785593    0.940590  826
   6.903511   -0.897764 1671
   6.942067   -0.362369 2246
  17.723400   -0.776163 1980
  17.214030    0.880766  388
  29.939383   -0.541229 2429
  29.516475    0.327357  814
   5.589895   -0.912960 1659
 359.994264    0.430958 1496
  19.384314    0.147301  559
   3.954512    0.292221   30
 355.365753   -0.563809 3113
 344.785641   -0.697897 3028
 357.989258    0.677610 1482
  20.239225    0.486470  473
  10.617005    0.061076   86
 358.419895   -0.601281 3140
  28.376429    0.095503  808
   0.588001    0.363704    0
 356.719940    0.765472 1470
 353.160473    0.631356 1593
  29.581589    0.159721  814
 332.143901    0.996263 1210
  13.140972    0.530257  111
 349.235173   -0.378049 3062
   6.790549    0.505649   57
   4.092038   -0.125439 1652
 347.088379    0.217842 1384
 348.984436    0.973984 1397
 354.188446    0.766662 1447
  11.371558    0.098735   93
  13.618764    0.081096  116
   5.403053   -0.554038 1665
  17.718421    0.773356  380
 349.777104   -0.817913 3063
 356.411163    0.655476 1466
   3.304597    0.752097   30
   4.029804    0.590570   36
  27.889208    0.458006  804
  23.728640   -0.445678 2829
  32.101121   -0.916301 2446
  14.466313    0.328559  159
 350.042084   -0.306800 3064
  34.429212   -0.457802 2795
 347.137421   -0.392342 3047
 357.060211    0.756808 1470
   2.923949   -0.071913 1646
   6.874345    0.096880   57
 354.403381   -0.131185 3105
  25.351725    0.358242  933
  24.024818    0.733426 1024
  31.984392   -0.483588 2446
  16.662744   -0.443504 1805
 356.829559   -0.963954 3121
  22.526196   -0.153977 2667
  12.458844    0.209117  107
  24.387278   -0.901447 2699
   7.554530   -0.662336 1681
  10.726426    0.082683   86
 359.354504    0.664128 1491
 350.723724   -0.565197 3066
  17.426578    0.275170  291
  12.083056    0.168316   99
  20.498238   -0.096948 2147
   9.122173    0.865922   75
  33.313435    0.216842  839
 351.871051   -0.725948 3079
 336.777114    0.720945 1253
  26.764406   -0.324439 2491
 333.713654    0.753749 1229
 337.559399    0.729599 1302
  17.232136   -0.340683 1869
  25.989746   -0.771716 2553
 358.135418    0.495439 1482
  33.066597    0.605918  839
  16.826971   -0.533385 1875
   5.046818   -0.755198 1653
   0.137769   -0.942157 1624
 351.316511    0.780528 1423
  34.459118   -0.508512 2465
  27.857630    0.392427  804
 355.108871    0.151260 1454
 356.739211   -0.053930 3123
 357.339845   -0.987557 3126
 354.467316   -0.514920 3105
   8.006420    0.875169   68
   7.678780    0.795423   63
  16.550921    0.322263  212
  14.158400    0.479153  314
 344.591797   -0.354133 3028
 354.068440   -0.657860 3097
   1.682121   -0.200084 1637
 355.939850   -0.349686 3118
 359.024910    0.881418 1488
  34.781883   -0.071536 2465
  19.650280    1.040102  202
  33.138361   -0.353028 2453
  15.628207    0.895640  744
  10.580864   -0.714243 1710
  14.820238    0.591273  280
 351.755005    0.360116 1423
  12.521809    0.041109  107
  30.901354   -0.696557 2435
  35.348961    0.226540  852
  30.018910    0.439942  816
  22.547859    1.117249  892
  15.735632    0.501291  183
  18.955150   -0.628528 1889
   1.527101    0.679094   14
  10.902090    0.093828   93
  19.195280    0.604457  277
 333.428613    0.672494 1224
 354.440417    0.552737 1447
 350.660379    0.848192 1415
  19.047621    0.009307  559
  12.464059   -0.890956 1717
  12.062746   -0.080832 1719
  16.464674   -0.188975 1807
  16.165302   -1.084194 1830
 353.417847   -0.561601 3091
   0.669257    0.107321    0
   0.901964    0.319584    8
 351.360443    0.404539 1423
  12.467917   -0.799949 1717
 359.340973    0.898777 1491
   9.080072   -0.164524 1702
  20.983110   -0.314851 2122
 332.253251    0.399351 1210
  23.143338    0.133621  927
  10.533156    0.138382   86
  19.229368    0.222510  562
  21.102713   -0.712279 1903
 346.806000   -0.667578 3040
  26.217528    0.800487 1048
 344.617401    0.388874 1367
 353.045624   -0.787863 3085
  13.820785    1.145747  313
   8.832220   -0.877419 1688
  29.479423    0.383558  814
   2.134891    0.838185   19
  33.981735   -0.517995 2461
   2.829885    0.876212   25
   3.737913    0.898168   30
   2.273876    0.625038   19
 359.638275    0.646803 1491
  24.269196   -0.183271 2519
  34.239849   -0.549774 2461
  10.762001   -0.204912 1710
   2.986034   -0.094628 1646
  33.196358    0.027409  839
  21.921873    0.883896  238
  14.812714   -0.968969 2066
 348.760480   -0.211039 3055
   4.573915   -0.449725 1658
 357.789734   -0.017118 3136
  24.539393   -0.906048 2699
  16.454484   -0.289516 1807
  19.631070    1.028119  202
  14.342959    0.279077  155
  18.763086   -0.465574 1889
   7.549089    0.797219   63
  28.607417    0.885191  808
  32.283067   -0.890026 2446
  13.206375    0.283131  111
 347.261536   -0.109467 3047
  33.077632   -0.093722 2453
 353.859436   -0.513340 3097
  20.779459    0.970116  148
 347.422574   -0.616371 3047
  28.811001    0.192941  808
  24.551279   -0.396772 2519
   5.597862    0.267638   45
  29.289987   -0.302929 2428
 352.896240    0.866144 1435
  34.244152    0.450098  847
 335.840899   -0.241177 2898
 356.112410   -0.724834 3116
 332.656189    0.548737 1217
 354.422211   -0.334005 3105
   5.591166   -0.748634 1659
  29.846172   -0.684701 2429
 352.987030    0.535345 1435
  27.037503   -0.919119 2543
  32.162228   -0.488512 2446
  14.078915    0.064786  116
  25.740837    0.204010  879
  20.041780    0.636511  461
  28.299984   -0.328229 2416
 358.125661    0.097795 1482
  20.352415   -0.184812 2008
  10.147595   -1.018217 1705
 346.356598    0.720484 1379
  19.464019   -0.631210 1950
   3.553924   -0.350730 1646
  31.001453    0.028388  826
  35.579567   -0.188497 2470
   2.592273   -0.616996 1641
  23.746636    0.504848 1022
   1.149546    0.034541    8
  11.401965   -0.005055 1716
  32.886101    0.729691  839
  21.248376   -0.266849 2122
  25.395626    0.106950  953
  28.867526   -0.811035 2422
 355.484997    0.044391 1460
 352.273010   -0.643227 3079
  10.015117   -0.416921 1707
  27.659273    0.975933  804
  16.442900   -0.432293 1807
 345.237091   -0.859644 3032
 347.226562   -0.644271 3047
   5.253310    0.809808   45
   9.464749    0.755250   81
  19.747225    1.186716  202
   8.637437   -0.763803 1690
  13.363404   -0.114745 1731
   9.650244   -0.666324 1702
   5.672374    0.240120   45
 344.617952   -0.421060 3028
  16.072001   -0.377715 1759
  31.736626    0.749683  830
 358.585846   -0.592793 3140
  26.583229   -0.774670 2547
  10.011166    0.311434   81
 349.967163   -0.812193 3064
  16.648617    0.737577  492
  26.018513    0.934486 1048
  27.004705    0.363457  802
   3.305808   -0.553338 1646
   9.470264    0.024472   75
 344.719929   -0.611752 3028
  33.486862    0.679582  840
  23.127325   -0.754086 2609
 332.572940   -0.052244 2869
  15.951018   -0.300350 1759
   0.818295   -0.125677 1627
  23.205761    0.440857  927
 356.145565    0.230101 1466
  18.969149    0.100264  573
 356.008667    0.067937 1460
 356.056061   -0.447725 3118
   4.305819   -0.413498 1652
  19.156031    0.892888  274
  24.411332   -0.863948 2699
   6.689635   -0.635276 2246
  32.791588   -0.618395 2452
  33.172375    0.471154  839
 333.567505    0.499661 1224
  14.392983   -0.304153 1773
   2.672071   -0.413917 1641
 356.630167   -0.927650 3121
 347.683021   -0.696640 3210
 333.405701    0.671078 1224
 346.278524   -0.582105 3040
  33.000226    0.182101  839
  14.674576   -0.989159 2066
  15.058283    1.146318  231
 352.278116    0.263418 1429
  34.415726   -0.695922 2461
  16.119329   -0.738199 1789
 353.457519   -0.424172 3091
 347.931152   -0.753364 3051
  14.038154   -0.318187 2291
   3.045074    0.886381   25
  15.738543   -0.751064 2103
 358.568848   -0.209316 3140
  13.594501    0.271136  116
   7.454639    0.761656   63
  35.070328    0.121044  852
  19.002993   -0.016174 2175
 340.835965   -0.662740 2986
  34.754030   -0.076209 2465
  35.495167   -0.181258 2470
 349.853276    0.478386 1403
   1.256845   -0.643030 1635
 355.973480   -0.747420 3118
   8.001478   -0.653037 1687
 356.031677   -0.981320 3116
