# ra            dec         
  351.3157043   0.1052882   
  0.4021706     0.0538355   
  32.1011276    -0.9162995  
  31.9071484    -0.5252302  
  2.9239337     -0.0719315  
  357.9255066   0.114896    
  5.429419      -0.5060372  
  8.4592276     -0.5473105  
  33.1383629    -0.3530306  
  4.3058357     -0.4135123  
  21.9793224    -0.6173146  
  2.1541629     0.8566674   
  354.0436707   -0.9707958  
  5.5978723     0.2676274   
  34.0247192    -0.7012976  
  29.4316196    -0.364847   
  11.5245609    0.7243912   
  17.0116806    0.6852959   
  33.0002327    0.1820805   
  14.5130968    -0.0546953  
  15.4060411    -0.0431531  
  14.5321007    -0.398697   
  18.0794048    0.6132806   
  3.1932795     -0.0035755  
  354.4403992   0.5527139   
  10.2394972    -0.8817129  
  359.3545227   0.6641257   
  20.0558453    0.7197958   
  33.1447372    -0.871033   
  5.4030533     -0.5540379  
  11.8377724    0.1589683   
  14.0789146    0.0647858   
  12.8108273    0.3114901   
  359.3623352   -0.405259   
  11.7946377    0.7084465   
  354.2440796   0.3184446   
  3.8247888     0.1598829   
  358.0843811   0.2932808   
  350.4652405   -0.2026614  
  358.1256714   0.0977809   
  26.0804234    -0.5041083  
  24.3310051    -0.8129942  
  6.8584776     -0.9816004  
  1.6502304     -0.5534576  
  358.135437    0.4954225   
  5.6723738     0.2401198   
  27.4796772    -0.563564   
  21.0895786    0.3662218   
  31.8972797    0.2081261   
  2.8298852     0.8762121   
  22.4067688    -0.2019635  
  8.1442728     -0.2658641  
  355.1088867   0.1512577   
  10.3088474    -0.198172   
  352.2084961   0.6830773   
  356.7392273   -0.0539346  
  351.8067627   0.0684629   
  343.2998047   0.8246606   
  34.3420143    0.1839119   
  6.1412292     -0.425938   
  17.4265785    0.2751703   
  7.789854      0.10891     
  3.7327924     -0.3866788  
  4.5106936     -0.3371979  
  9.3932276     0.5443047   
  351.7210388   -0.6532741  
  29.9256973    -0.3187692  
  19.4640121    -0.6312088  
  354.7983093   0.7294543   
  355.5114136   0.5626956   
  8.0753965     0.1353659   
  29.9393826    -0.5412294  
  5.646193      -0.8125104  
  31.9843922    -0.483599   
  11.8698826    0.6723056   
  357.7897339   -0.0171181  
  356.8295593   -0.9639543  
  352.1829529   0.7817515   
  13.702466     0.7143866   
  9.748477      0.8164943   
  1.6821244     -0.2001063  
  32.761364     -0.1528788  
  7.6921287     0.0206486   
  0.5947355     -0.2627698  
  0.9019969     0.3195657   
  18.1986027    -0.3274261  
  20.1173077    0.6949852   
  32.2830658    -0.890029   
  353.4743042   -0.9052832  
  4.7125168     -0.6669747  
  2.5922687     -0.6170148  
  331.5675659   0.8462374   
  19.0455723    -0.7261721  
  33.7852287    -0.2651998  
  356.0510559   -0.9484902  
